run_id,num_missiles,engagement_range,axis,hits,destroyed,timeouts,ship_killed,hits_taken
9,1,7000.0,frontal,0,1,0,0,0
10,1,7000.0,frontal,0,1,0,0,0
1,2,7000.0,frontal,0,2,0,0,0
2,2,7000.0,frontal,0,2,0,0,0
3,2,7000.0,frontal,0,2,0,0,0
4,2,7000.0,frontal,0,2,0,0,0
5,2,7000.0,frontal,0,2,0,0,0
6,2,7000.0,frontal,0,2,0,0,0
7,2,7000.0,frontal,0,2,0,0,0
8,2,7000.0,frontal,0,2,0,0,0
9,2,7000.0,frontal,0,2,0,0,0
10,2,7000.0,frontal,0,2,0,0,0
1,3,7000.0,frontal,0,3,0,0,0
2,3,7000.0,frontal,0,3,0,0,0
3,3,7000.0,frontal,0,3,0,0,0
4,3,7000.0,frontal,0,3,0,0,0
5,3,7000.0,frontal,0,3,0,0,0
6,3,7000.0,frontal,0,3,0,0,0
7,3,7000.0,frontal,0,3,0,0,0
8,3,7000.0,frontal,0,3,0,0,0
9,3,7000.0,frontal,0,3,0,0,0
10,3,7000.0,frontal,0,3,0,0,0
1,4,7000.0,frontal,0,4,0,0,0
2,4,7000.0,frontal,1,3,0,0,1
3,4,7000.0,frontal,1,3,0,0,1
4,4,7000.0,frontal,1,3,0,0,1
5,4,7000.0,frontal,1,3,0,0,1
6,4,7000.0,frontal,1,3,0,0,1
7,4,7000.0,frontal,1,3,0,0,1
8,4,7000.0,frontal,1,3,0,0,1
9,4,7000.0,frontal,1,3,0,0,1
10,4,7000.0,frontal,1,3,0,0,1
1,5,7000.0,frontal,2,3,0,0,2
2,5,7000.0,frontal,2,3,0,0,2
3,5,7000.0,frontal,2,3,0,0,2
4,5,7000.0,frontal,2,3,0,0,2
5,5,7000.0,frontal,1,4,0,0,1
6,5,7000.0,frontal,2,3,0,0,2
7,5,7000.0,frontal,1,4,0,0,1
8,5,7000.0,frontal,2,3,0,0,2
9,5,7000.0,frontal,2,3,0,0,2
10,5,7000.0,frontal,2,3,0,0,2
1,6,7000.0,frontal,3,3,0,0,3
2,6,7000.0,frontal,3,3,0,0,3
3,6,7000.0,frontal,2,4,0,0,2
4,6,7000.0,frontal,3,3,0,0,3
5,6,7000.0,frontal,2,4,0,0,2
6,6,7000.0,frontal,3,3,0,0,3
7,6,7000.0,frontal,3,3,0,0,3
8,6,7000.0,frontal,3,3,0,0,3
9,6,7000.0,frontal,3,3,0,0,3
10,6,7000.0,frontal,3,3,0,0,3
1,8,7000.0,frontal,5,3,0,0,5
2,8,7000.0,frontal,5,3,0,0,5
3,8,7000.0,frontal,5,3,0,0,5
4,8,7000.0,frontal,5,3,0,0,5
5,8,7000.0,frontal,5,3,0,0,5
6,8,7000.0,frontal,5,3,0,0,5
7,8,7000.0,frontal,4,4,0,0,4
8,8,7000.0,frontal,4,4,0,0,4
9,8,7000.0,frontal,5,3,0,0,5
10,8,7000.0,frontal,4,4,0,0,4
1,10,7000.0,frontal,8,2,0,0,8
2,10,7000.0,frontal,7,3,0,0,7
3,10,7000.0,frontal,7,3,0,0,7
4,10,7000.0,frontal,6,4,0,0,6
5,10,7000.0,frontal,7,3,0,0,7
6,10,7000.0,frontal,7,3,0,0,7
7,10,7000.0,frontal,6,4,0,0,6
8,10,7000.0,frontal,7,3,0,0,7
9,10,7000.0,frontal,6,4,0,0,6
10,10,7000.0,frontal,7,3,0,0,7
1,15,7000.0,frontal,10,5,0,0,10
2,15,7000.0,frontal,12,3,0,0,12
3,15,7000.0,frontal,12,3,0,0,12
4,15,7000.0,frontal,11,4,0,0,11
5,15,7000.0,frontal,12,3,0,0,12
6,15,7000.0,frontal,12,3,0,0,12
7,15,7000.0,frontal,12,3,0,0,12
8,15,7000.0,frontal,11,4,0,0,11
9,15,7000.0,frontal,12,3,0,0,12
10,15,7000.0,frontal,12,3,0,0,12
1,1,2000.0,broadside,0,1,0,0,0
2,1,2000.0,broadside,0,1,0,0,0
3,1,2000.0,broadside,0,1,0,0,0
4,1,2000.0,broadside,0,1,0,0,0
5,1,2000.0,broadside,0,1,0,0,0
6,1,2000.0,broadside,0,1,0,0,0
7,1,2000.0,broadside,0,1,0,0,0
8,1,2000.0,broadside,0,1,0,0,0
9,1,2000.0,broadside,0,1,0,0,0
10,1,2000.0,broadside,0,1,0,0,0
1,2,2000.0,broadside,0,2,0,0,0
2,2,2000.0,broadside,0,2,0,0,0
3,2,2000.0,broadside,0,2,0,0,0
4,2,2000.0,broadside,0,2,0,0,0
5,2,2000.0,broadside,0,2,0,0,0
6,2,2000.0,broadside,0,2,0,0,0
7,2,2000.0,broadside,0,2,0,0,0
8,2,2000.0,broadside,0,2,0,0,0
9,2,2000.0,broadside,0,2,0,0,0
10,2,2000.0,broadside,0,2,0,0,0
1,3,2000.0,broadside,0,3,0,0,0
2,3,2000.0,broadside,0,3,0,0,0
3,3,2000.0,broadside,0,3,0,0,0
4,3,2000.0,broadside,0,3,0,0,0
5,3,2000.0,broadside,0,3,0,0,0
6,3,2000.0,broadside,0,3,0,0,0
7,3,2000.0,broadside,0,3,0,0,0
8,3,2000.0,broadside,0,3,0,0,0
9,3,2000.0,broadside,0,3,0,0,0
10,3,2000.0,broadside,0,3,0,0,0
1,4,2000.0,broadside,0,4,0,0,0
2,4,2000.0,broadside,0,4,0,0,0
3,4,2000.0,broadside,0,4,0,0,0
4,4,2000.0,broadside,0,4,0,0,0
5,4,2000.0,broadside,0,4,0,0,0
6,4,2000.0,broadside,0,4,0,0,0
7,4,2000.0,broadside,0,4,0,0,0
8,4,2000.0,broadside,0,4,0,0,0
9,4,2000.0,broadside,0,4,0,0,0
10,4,2000.0,broadside,0,4,0,0,0
1,5,2000.0,broadside,0,5,0,0,0
2,5,2000.0,broadside,0,5,0,0,0
3,5,2000.0,broadside,0,5,0,0,0
4,5,2000.0,broadside,0,5,0,0,0
5,5,2000.0,broadside,0,5,0,0,0
